id	name	placement_count	placement_bin	top_sequences
0	Aptinothrips_rufus	3	1	2bd7408fac1d29b66b64891a8f4bbafa Thripidae_cluster48; cdabf47214351660702ad9dec5808e3e Thripidae_cluster13; d1135ad314067b39f817c497610fc4ac Thripidae_cluster14
1	Frankliniella_occidentalis	0	0	
2	Frankliniella_intonsa	1	1	283c993c68a4405cb0c1cf6fd56af65e Thripidae_cluster28
3	node_3	29	3	001d4c008ad7f9f623749446d463b224 unclassified.Thysanoptera_cluster37; f5f797b72fe71f6aff53806a267ecf87 Thripidae_cluster12; 1e6942ad0e98a66fd609f5f8156c521d Thripidae_cluster46; 96d7473f76f3ff11dde7d839605a8883 Thripidae_cluster16; d21ae82a482dc532a86c1974c28e35c1 Thripidae_cluster7; 77fdc9eee1c3adfb93ce175282bc33de unclassified.Thysanoptera_cluster15; 84dd376c2cd5673a1b0cd68259e8da23 Thripidae_cluster50; 9ff570b587faa6d83bdfdc69a61362ec Thripidae_cluster56; 10d5628e7ac9e21d627e9d494a5e0443 Thripidae_cluster30; b384841863120eea2bbd70d812df18f9 Thripidae_cluster32; 76a2448c76473f7e6feb8e74ad1cbf86 unclassified.Thysanoptera_cluster41; 3952c3ed67ca5dd2ca322e826300c93b Thripidae_cluster23; 3d1a387e84912156a3045c09efc3bc94 unclassified.Thysanoptera_cluster76; 098adb3175450cae1aee4233f6b51855 Thripidae_cluster42; 2a123a0207e3e7e2d64008afbb4c5f74 Thripidae_cluster41; f325f5e0d706d9a1df2e73e476b191b2 Thripidae_cluster24; e4b5f0342bbe0053824482fd975cd8a2 Thripidae_cluster17; 24e225c2f24f2cbba4bcb0485834aed1 Thripidae_cluster22; 32ef75f7b8265cb1cf24b96d7c370014 unclassified.Thysanoptera_cluster18; 31b9ae7e74c3c3bf13c5352fdcc36d66 unclassified.Thysanoptera_cluster68; 36b5333a8753d927b60162bd2e766f91 Thripidae_cluster43; f8db44f8b80b1f7d660d300357579ab7 Thripidae_cluster9; 71489cd3793ee82868cad6aa7979ff65 Thripidae_cluster34; b3a220a9b3a5a35534efb544030d4d24 Thripidae_cluster58; b16a152fa237ce5e0c860547e4c17e62 unclassified.Thysanoptera_cluster12; e4ad2cfa508b00117930c86d489c8bf5 unclassified.Thysanoptera_cluster47; b3372f183ddc4cb42a4281db28294e64 Thripidae_cluster57; bd82514edee671a8b9aa6f4ad1f8a7e8 Thripidae_cluster54; 85354be2a54354ea409a1ef5cfb7b72c unclassified.Trombidiformes_cluster18
4	Thrips_palmi	6	2	a650a1cf7d0aff0df4b2f90570ee2b92 Thripidae_cluster55; bf7865d7281f54bb43ff3d4925e63f8e Thripidae_cluster19; 565d9d906b69b0e217be156d3f298f6d Thripidae_cluster33; e94f8449dc023c1b472ba4d04fa3d7d6 unclassified.Thysanoptera_cluster52; c114147b167622efa00278188a87cf64 Thripidae_cluster21; 6d732f021c01e1101841b43068647d0d unclassified.Thysanoptera_cluster1
5	Stenchaetothrips_biformis	4	1	ecd065eec469beba01303fd7cc645d0e Thripidae_cluster36; 6d732f021c01e1101841b43068647d0d unclassified.Thysanoptera_cluster1; e94f8449dc023c1b472ba4d04fa3d7d6 unclassified.Thysanoptera_cluster52; 565d9d906b69b0e217be156d3f298f6d Thripidae_cluster33
6	node_6	10	2	ee39758f458bcca25ea18fbd5ef4fddc unclassified.Thysanoptera_cluster81; 043106b5c51cf5638d2d51da22586bb5 unclassified.Thysanoptera_cluster83; 8636f6fdf7d7a3de87534ba4c0789654 Thripidae_cluster8; 54f0563acca3b76a7fd4cf1c6822b26d Thripidae_cluster59; 6d732f021c01e1101841b43068647d0d unclassified.Thysanoptera_cluster1; 785f82023f6190607039d0468c9bd7b0 unclassified.Thysanoptera_cluster87; 1546fc9ac748e486de25d110969108aa unclassified.Thysanoptera_cluster60; 9a4a132524029f5eb6220f4a80901489 unclassified.Thysanoptera_cluster3; e94f8449dc023c1b472ba4d04fa3d7d6 unclassified.Thysanoptera_cluster52; c114147b167622efa00278188a87cf64 Thripidae_cluster21
7	Thrips_hawaiiensis	6	2	63275725b7670e7dbe7948c481c5c409 Thripidae_cluster49; 8c4c761eb21f9a86eac4eb44304a6465 unclassified.Thysanoptera_cluster33; 429e8a2bbcee3828cebbea61d4c7bc0d Thripidae_cluster20; 2a123a0207e3e7e2d64008afbb4c5f74 Thripidae_cluster41; 043106b5c51cf5638d2d51da22586bb5 unclassified.Thysanoptera_cluster83; 54f0563acca3b76a7fd4cf1c6822b26d Thripidae_cluster59
8	node_8	19	2	11b5a34fa2bd181134fae4bbb722196c Thripidae_cluster45; 785f82023f6190607039d0468c9bd7b0 unclassified.Thysanoptera_cluster87; 429e8a2bbcee3828cebbea61d4c7bc0d Thripidae_cluster20; 0142db7108fe2e9addfbba9dd48676c1 Thripidae_cluster38; a3924a8df85c235c187a1cf286bb5cba Thripidae_cluster5; 1546fc9ac748e486de25d110969108aa unclassified.Thysanoptera_cluster60; abaa476b845748ffc6d0f52b99b5e5f9 Thripidae_cluster39; 9a4a132524029f5eb6220f4a80901489 unclassified.Thysanoptera_cluster3; 8636f6fdf7d7a3de87534ba4c0789654 Thripidae_cluster8; 54f0563acca3b76a7fd4cf1c6822b26d Thripidae_cluster59; ee39758f458bcca25ea18fbd5ef4fddc unclassified.Thysanoptera_cluster81; bf08471de7a26a6fd86aa811d8a522ca unclassified.Thysanoptera_cluster62; 043106b5c51cf5638d2d51da22586bb5 unclassified.Thysanoptera_cluster83; c114147b167622efa00278188a87cf64 Thripidae_cluster21; f325f5e0d706d9a1df2e73e476b191b2 Thripidae_cluster24; b3372f183ddc4cb42a4281db28294e64 Thripidae_cluster57; bab1185acff9a9151b72e6f53183f337 unclassified.Thysanoptera_cluster2; e4ad2cfa508b00117930c86d489c8bf5 unclassified.Thysanoptera_cluster47; abe129d1c638498327dc0e92883a5808 unclassified.Thysanoptera_cluster19
9	Thrips_tabaci	3	1	4043de664e3f228ab5675367683620ee Thripidae_cluster27; bab1185acff9a9151b72e6f53183f337 unclassified.Thysanoptera_cluster2; bf08471de7a26a6fd86aa811d8a522ca unclassified.Thysanoptera_cluster62
